"Classement","Films","Émission","Timestamp"
"1","Premier contact","102","0h 53m 50s"
"2","Interstellar","103","1h 39m 37s"
"3","Drive","104","0h 59m 00s"
"4","It Follows","100","0h 08m 10s"
"5","Django Unchained","107","0h 24m 03s"
"6","Scott Pilgrim","100","1h 33m 41s"
"7","The Nice Guys","110","0h 12m 52s"
"8","Meru","100","0h 47m 08s"
"9","Le Stratège","109","1h 05m 43s"
"10","Snowpiercer","102","1h 11m 58s"
"11","Green Room","101","1h 05m 48s"
"12","Dredd","103","0h 57m 36s"
"13","Sparring","109","0h 30m 03s"
"14","Cloud Atlas","104","1h 47m 03s"
"15","Le Dernier pub avant la fin du monde","106","0h 25m 11s"
"16","Problemos","106","0h 37m 04s"
"17","Gainsbourg: Une Vie Héroïque","105","0h 46m 20s"
"18","Annihilation","110","0h 26m 02s"
"19","Vice-versa","101","0h 27m 30s"
"20","The Revenant","103","1h 23m 15s"
"21","La cabane dans les bois","100","0h 28m 48s"
"22","Raiponce","108","1h 07m 03s"
"23","The Square","107","1h 03m 00s"
"24","J'ai rencontré le diable","110","1h 09m 07s"
"25","Zootopie","101","0h 07m 49s"
"26","Ant-Man","100","1h 01m 35s"
"27","127 heures","100","0h 39m 45s"
"28","Le dernier rempart","103","1h 12m 10s"
"29","Fast & Furious 5","104","0h 42m 10s"
"30","Happyness Therapy","104","0h 21m 06s"
"31","Looper","102","0h 30m 27s"
"32","Equalizer","107","0h 50m 49s"
"33","Black Swan","108","0h 50m 51s"
"34","Le vent se lève","104","1h 29m 01s"
"35","The Lobster","110","0h 44m 35s"
"36","Contagion","112","1h 08m 37s"
"37","The Artist","106","1h 07m 02s"
"38","Super 8","102","0h 19m 01s"
"39","42","112","0h 34m 23s"
"40","Zero Dark Thirty","107","0h 09m 48s"
"41","Real Steel","109","0h 22m 32s"
"42","Bohemian Rhapsody","101","0h 16m 35s"
"43","Green Hornet","101","0h 41m 49s"
"44","Unstoppable","102","1h 28m 06s"
"45","13 Hours: The Secret Soldiers Of Benghazi","112","0h 04m 48s"
"46","Spy","102","0h 11m 15s"
"47","Kong: Skull Island","107","1h 14m 36s"
"48","Everest","111","0h 38m 11s"
"49","S.O.S. Fantômes","108","0h 20m 30s"
"50","Tron: l’héritage","100","1h 13m 18s"
"51","The Amazing Spider-Man","108","0h 08m 00s"
"52","Cars 2","104","0h 34m 06s"
"53","Jason Bourne: l’héritage","102","0h 43m 37s"
"54","Battleship","105","0h 10m 20s"
"55","New Kids Turbo","111","0h 54m 05s"
"56","La Planète des singes : les origines","107","1h 22m 43s"
"57","Biutiful","110","0h 57m 00s"
"58","Fatal","106","0h 09m 26s"
"59","Le Livre d'Eli","105","1h 01m 45s"
"60","Karate Kid","100","0h 19m 54s"
"61","Cosmopolis","106","0h 53m 35s"
"62","Les 4 Fantastiques","108","0h 35m 02s"
"63","Machette Kills","103","0h 44m 12s"
"64","Abraham Lincoln : Chasseur de Vampires","105","0h 22m 00s"
"65","Mission: Pays Basque","103","0h 28m 18s"
"66","Very bad trip 2","104","0h 11m 56s"
"67","La Tour sombre","111","0h 30m 43s"
"68","Supercondriaque","111","1h 01m 52s"
"69","Green Lantern","109","0h 49m 03s"
"70","Priest","105","0h 31m 45s"
"71","Match retour","109","0h 40m 49s"
"72","Green Inferno","101","0h 56m 06s"
"73","Arthur 3 : La guerre des deux mondes","101","1h 16m 50s"
"74","Barbecue","109","0h 09m 01s"
"75","Transformers : The Last Knight","101","1h 26m 56s"
"76","Pixels","100","1h 24m 06s"
"77","Les visiteurs : la révolution","103","0h 14m 10s"
"78","Taxi 5","112","1h 19m 58s"
"79","Si j’étais un homme","103","0h 35m 39s"
